toilet_id,name,addr,lat,lng,male_wc,female_wc,male_wc_disabled,female_wc_disabled,accessible,district,dong
NMG-0045,대연운전자 휴게소(남/녀),부산광역시 남구 대연5동 산71-0번지,35.142368,129.085969,8,5,1,1,1,남구,대연동
NMG-0046,부산광역시 여성회관 화장실,부산광역시 남구 수영로 356,35.13913034,129.1045446,24,28,6,1,1,남구,대연동
NMG-0047,대연수목전시원 화장실,부산광역시 남구 신선로 447번길 24,35.125,129.098,2,4,0,0,0,남구,대연동
NMG-0048,부산지식산업센터 우암점 화장실,부산광역시 남구 신선로2,35.121467,129.077383,22,20,2,1,1,남구,우암동
NMG-0049,부산박물관 동래관1층,부산광역시 남구 유엔평화로 63,35.1295608,129.0940856,5,3,1,0,1,남구,대연동
NMG-0050,부산박물관 동래관지하,부산광역시 남구 유엔평화로 63,35.1295608,129.0940856,4,3,1,1,1,남구,대연동
NMG-0051,부산박물관 부산관1층,부산광역시 남구 유엔평화로 63,35.1295608,129.0940856,11,4,2,1,1,남구,대연동
NMG-0052,부산박물관 부산관2층,부산광역시 남구 유엔평화로 63,35.1295608,129.0940856,11,4,1,0,1,남구,대연동
NMG-0053,부산박물관 야외,부산광역시 남구 유엔평화로 63,35.1295608,129.0940856,7,3,1,0,1,남구,대연동
NMG-0054,부산박물관 부산관지하,부산광역시 남구 유엔평화로 63,35.1295608,129.0940856,5,5,0,0,0,남구,대연동
NMG-0055,부산박물관 부산관장애인화장실,부산광역시 남구 유엔평화로 63,35.1295608,129.0940856,0,0,3,3,1,남구,대연동
NMG-0056,부산박물관 보존관리동1층,부산광역시 남구 유엔평화로 63,35.1295608,129.0940856,0,1,2,1,1,남구,대연동
NMG-0057,부산박물관 보존관리동2층,부산광역시 남구 유엔평화로 63,35.1295608,129.0940856,2,2,0,0,0,남구,대연동
NMG-0058,부산환경공단 남부사업소 정문,부산광역시 남구 이기대공원로11,35.1249,129.114,4,3,2,1,1,남구,용호동
NMG-0059,환경공단남부사업소공원중앙광장,부산광역시 남구 이기대공원로11,35.1262,129.1149,9,4,2,1,1,남구,용호동
NMG-0060,환경공단남부사업소그라운드골프,부산광역시 남구 이기대공원로11,35.1275,129.1173,3,3,0,0,0,남구,용호동
NMG-0061,대한통운컨테이너터미널,부산광역시 남구 신선로 294,35.11097,129.09751,8,4,0,0,0,남구,용당동
NMG-0062,대연3동행정복지센터,부산광역시 남구 수영로 345,35.14009,129.10397,5,3,0,0,0,남구,대연동
NMG-0063,대동골문화센터 2층,부산광역시 남구 황령대로319번가길 147,35.15243,129.08899,4,3,1,1,1,남구,대연동
NMG-0064,부산남구문화원 2층,부산광역시 남구 신선로 566-2,35.13070,129.11221,2,2,0,0,0,남구,용호동
NMG-0065,부산남구문화원 3층,부산광역시 남구 신선로 566-2,35.13070,129.11221,2,2,0,0,0,남구,용호동
NMG-0066,하늘바람소극장,부산광역시 남구 용소로13번길 17,35.136690,129.10225,1,1,0,0,0,남구,대연동
NMG-0067,초콜릿팩토리,부산광역시 남구 수영로 298,35.13680,129.09900,4,2,0,0,0,남구,대연동
NMG-0068,드림씨어터 1층 화장실,부산광역시 남구 전포대로 133 ,35.14856,129.06543,8,36,0,0,0,남구,문현동
NMG-0069,드림씨어터 1층 가족화장실,부산광역시 남구 전포대로 133 ,35.14856,129.06543,3,3,0,0,0,남구,문현동
NMG-0070,드림씨어터 1층 장애인화장실,부산광역시 남구 전포대로 133 ,35.14856,129.06543,0,0,1,1,1,남구,문현동
NMG-0071,드림씨어터 2층 장애인화장실,부산광역시 남구 전포대로 133 ,35.14856,129.06543,0,0,1,1,1,남구,문현동
NMG-0072,드림씨어터 3층 화장실,부산광역시 남구 전포대로 133 ,35.14856,129.06543,9,6,0,0,0,남구,문현동
NMG-0073,부경대학교 수상레저관,부산광역시 남구 용소로 45,35.134032,129.1031735,33,28,1,1,1,남구,대연동
NMG-0074,부경대학교 창의관,부산광역시 남구 용소로 45,35.134032,129.1031735,87,106,1,1,1,남구,대연동
NMG-0075,부경대학교 공학2관,부산광역시 남구 용소로 45,35.134032,129.1031735,93,102,13,13,1,남구,대연동
NMG-0076,부경대학교 공학1관,부산광역시 남구 용소로 45,35.134032,129.1031735,91,91,13,13,1,남구,대연동
NMG-0077,부경대학교 인문사회·경영관,부산광역시 남구 용소로 45,35.134032,129.1031735,132,35,2,2,1,남구,대연동
NMG-0078,부경대학교 가온관,부산광역시 남구 용소로 45,35.134032,129.1031735,53,35,1,1,1,남구,대연동
NMG-0079,에저또 소극장,부산광역시 남구 수영로293번길 42,35.13836,129.09733,1,1,0,0,0,남구,대연동
NMG-0080,나다소극장,부산광역시 남구 용소로40번길 11,35.13658,129.10081,1,1,0,0,0,남구,대연동
NMG-0081,부경대학교 충무관,부산광역시 남구 용소로 45,35.134032,129.1031735,42,21,0,0,0,남구,대연동
NMG-0082,부경대학교 청운관,부산광역시 남구 용소로 45,35.134032,129.1031735,28,24,1,1,1,남구,대연동
NMG-0083,부경대학교 동원장보고관,부산광역시 남구 용소로 45,35.134032,129.1031735,22,16,1,1,1,남구,대연동
NMG-0084,부경대학교 아름관,부산광역시 남구 용소로 45,35.134032,129.1031735,18,9,0,0,0,남구,대연동
NMG-0085,부경대학교 나비센터,부산광역시 남구 용소로 45,35.134032,129.1031735,26,11,0,0,0,남구,대연동
NMG-0086,부경대학교 위드센터,부산광역시 남구 용소로 45,35.134032,129.1031735,20,8,0,0,0,남구,대연동
NMG-0087,부경대학교 체육관,부산광역시 남구 용소로 45,35.134032,129.1031735,9,4,0,0,0,남구,대연동
NMG-0088,부경대학교 대학극장,부산광역시 남구 용소로 45,35.134032,129.1031735,21,11,0,0,0,남구,대연동
NMG-0089,부경대학교 디자인관,부산광역시 남구 용소로 45,35.134032,129.1031735,9,6,0,0,0,남구,대연동
NMG-0090,부경대학교 한울관,부산광역시 남구 용소로 45,35.134032,129.1031735,6,2,0,0,0,남구,대연동
NMG-0091,부경대학교 수산질병관리원,부산광역시 남구 용소로 45,35.134032,129.1031735,4,2,0,0,0,남구,대연동
NMG-0092,부경대학교 수조실험동,부산광역시 남구 용소로 45,35.134032,129.1031735,5,2,0,0,0,남구,대연동
NMG-0093,부경대학교 직장어린이집,부산광역시 남구 용소로 45,35.134032,129.1031735,14,6,0,0,0,남구,대연동
NMG-0094,부경대학교 양어장관리사,부산광역시 남구 용소로 45,35.134032,129.1031735,5,1,0,0,0,남구,대연동
NMG-0095,부경대학교 테니스장관리동,부산광역시 남구 용소로 45,35.134032,129.1031735,3,2,0,0,0,남구,대연동
NMG-0096,부경대학교 한미르관,부산광역시 남구 용소로 45,35.134032,129.1031735,129,43,0,0,0,남구,대연동
NMG-0097,금융단지주유소,부산광역시 남구 전포대로 75,35.14377,129.06644,3,1,0,0,0,남구,문현동
NMG-0098,부산대연4동우체국(1층),부산광역시 남구 석포로 107,35.12749,129.09019,2,1,1,0,1,남구,대연동
NMG-0099,부산해바라기소극장,부산광역시 남구 용소로13번길 30,35.13695,129.10228,1,2,0,0,0,남구,대연동
NMG-0100,부경대학교 공학관(행정관),부산광역시 남구 신선로 365,35.1173955,129.0923084,29,9,0,0,0,남구,용당동
NMG-0101,부경대학교 창업보육센터,부산광역시 남구 신선로 365,35.1173955,129.0923084,20,10,0,0,0,남구,용당동
NMG-0102,부경대학교 공학종합실습센터,부산광역시 남구 신선로 365,35.1173955,129.0923084,14,4,0,0,0,남구,용당동
